Time_cycle,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10
27,489.05,604.5,1496.41,1309.56,10.52,15.5,394.18,2318.94,8756.39,1.26
28,449.44,556.14,1368.74,1136.6,5.48,8,194.28,2222.69,8341.08,1.02
29,489.05,605.59,1504.4,1309.21,10.52,15.49,394.04,2318.99,8766.74,1.26
30,449.44,554.63,1365.52,1129.68,5.48,8,194.42,2222.62,8333.47,1.02
31,462.54,536.64,1263.32,1051.27,7.05,9.03,174.86,1915.06,7994.87,0.94
32,449.44,556,1366.03,1126.36,5.48,8,194.46,2222.67,8330.67,1.02
33,445,549.61,1355.12,1129.12,3.91,5.71,138.51,2211.47,8303.6,1.02
34,491.19,607.02,1489.25,1249.32,9.35,13.65,333.84,2323.91,8706.87,1.08
35,491.19,607.8,1480.04,1255.38,9.35,13.65,334.42,2323.91,8706.78,1.08
36,491.19,608.07,1481.01,1254.84,9.35,13.66,334.58,2323.83,8711.17,1.08
37,445,550.14,1355.01,1124.51,3.91,5.71,138.64,2211.53,8302.55,1.02
38,462.54,536.78,1267.89,1054.16,7.05,9.03,175.64,1915.13,8001.37,0.94
39,518.67,643.05,1592.09,1404.86,14.62,21.61,553.56,2388.13,9051.97,1.3
40,491.19,607.45,1485.45,1253.18,9.35,13.66,333.76,2323.91,8701.24,1.08
41,462.54,537.67,1256.16,1045.26,7.05,9.03,175.04,1915.16,8002.54,0.94
42,445,549.79,1354.58,1133.25,3.91,5.71,137.95,2211.54,8299.78,1.02
43,462.54,536.7,1258.84,1049.76,7.05,9.02,176.16,1915.07,7997.86,0.94
44,491.19,607.47,1478.6,1254.82,9.35,13.66,334.75,2323.93,8702.18,1.07
45,489.05,605.09,1498.03,1311.12,10.52,15.5,394.08,2319.02,8761.78,1.26
46,445,550,1348.75,1136.02,3.91,5.72,138.24,2211.54,8307.53,1.02
47,518.67,642.24,1596.92,1412.15,14.62,21.61,553.18,2388.16,9044.63,1.3
48,518.67,643.09,1585.66,1413.32,14.62,21.61,553.03,2388.18,9037.6,1.3
49,489.05,604.92,1502.81,1306.91,10.52,15.49,393.76,2318.93,8766.03,1.26
50,518.67,641.78,1596.62,1405.44,14.62,21.61,552.29,2388.14,9040.13,1.3
51,445,550.2,1358.26,1124.39,3.91,5.71,138.5,2211.54,8304.87,1.02
52,445,549.7,1347.82,1137.99,3.91,5.71,138.45,2211.52,8304.35,1.02
53,449.44,555.65,1367.41,1137.38,5.48,8,194.89,2222.73,8339.83,1.02
54,462.54,536.67,1272.74,1048.22,7.05,9.03,174.62,1915.1,7995.21,0.94
55,462.54,536.81,1264.14,1052.19,7.05,9.03,175.37,1915.1,7996.43,0.94
56,445,549.43,1351.94,1121.27,3.91,5.71,137.78,2211.56,8302.15,1.02
57,445,549.69,1353.51,1135.69,3.91,5.71,138.41,2211.49,8301.68,1.02
58,445,549.96,1360.48,1130.11,3.91,5.72,138.55,2211.52,8307.52,1.02
59,518.67,642.9,1586.29,1410.77,14.62,21.61,552.88,2388.18,9038.73,1.3
60,491.19,607.27,1493.64,1258.54,9.35,13.66,334.81,2323.95,8711.22,1.08
61,462.54,536.56,1261.6,1046.05,7.05,9.02,175.59,1915.14,7999.8,0.94
62,462.54,536.54,1260.4,1046.36,7.05,9.03,175.29,1915.11,7998.78,0.94
63,518.67,642.91,1594.68,1410.24,14.62,21.61,552.49,2388.15,9036.76,1.3
64,445,549.46,1355.99,1127.54,3.91,5.72,138.01,2211.55,8305.89,1.02
65,445,549.5,1356.45,1126.69,3.91,5.71,138.46,2211.5,8304.38,1.02
66,489.05,604.7,1502.73,1315.87,10.52,15.49,394.26,2319,8765.42,1.26
67,491.19,607.49,1490.76,1249.89,9.35,13.65,334.49,2324.02,8710.56,1.08
68,462.54,536.67,1268.19,1050.45,7.05,9.03,175.59,1915.02,7996.53,0.94
69,518.67,643.37,1594.06,1412.35,14.62,21.61,552.54,2388.13,9036.46,1.3
70,491.19,607.91,1484.82,1253.6,9.35,13.66,334.4,2323.91,8703.28,1.07
71,518.67,643.24,1588.44,1412.39,14.62,21.61,552.5,2388.21,9033.5,1.3
72,518.67,642.63,1599.75,1410.9,14.62,21.61,553.13,2388.17,9044.3,1.3
73,445,549.95,1350.77,1127.82,3.91,5.72,138.54,2211.57,8312.75,1.02
74,518.67,642.89,1594.05,1407.62,14.62,21.61,553.14,2388.16,9037.42,1.3
75,449.44,556.55,1366.85,1131.98,5.48,8,193.73,2222.7,8331.18,1.02
76,462.54,537.37,1259.27,1049.25,7.05,9.02,175.09,1915.03,8001.54,0.94
77,445,549.28,1358.46,1130.9,3.91,5.71,138.52,2211.44,8307.36,1.02
78,489.05,605.13,1503.14,1314.23,10.52,15.49,394.31,2319.04,8752.32,1.26
79,445,550.34,1357.54,1133.44,3.91,5.72,138.67,2211.52,8306.57,1.02
80,462.54,536.99,1262.63,1053.36,7.05,9.03,175.17,1915.05,7991.54,0.94
81,518.67,642.2,1592.31,1411.11,14.62,21.61,552.46,2388.13,9040.65,1.3
82,491.19,607.88,1489.46,1261.82,9.35,13.66,334.1,2323.98,8708.94,1.08
83,445,550.02,1353.35,1133.01,3.91,5.71,137.99,2211.46,8306.88,1.02
84,518.67,642.85,1595.48,1417.68,14.62,21.61,553.32,2388.15,9038.09,1.3
85,449.44,556.32,1366.41,1133.84,5.48,8,194.14,2222.66,8339.93,1.02
86,518.67,642.22,1591.85,1411.83,14.62,21.61,552.87,2388.23,9043.31,1.3
87,489.05,605.16,1503.55,1312.29,10.52,15.5,393.75,2319.04,8763.78,1.26
88,489.05,604.99,1502.16,1308.63,10.52,15.5,393.73,2319,8763.33,1.26
89,445,549.83,1353.38,1130.77,3.91,5.72,138.38,2211.56,8299.48,1.02
90,518.67,642.78,1593.36,1409.92,14.62,21.61,552.95,2388.18,9040.08,1.3
91,449.44,556.57,1364.77,1136.74,5.48,8,194.55,2222.62,8334.4,1.02
92,445,549.69,1355.54,1123.86,3.91,5.72,138.77,2211.53,8310.9,1.02
93,489.05,605.02,1510.41,1316.83,10.52,15.5,394.2,2319.05,8764.29,1.26
94,449.44,556.9,1368.47,1143.94,5.48,8,193.41,2222.63,8340.76,1.02
95,462.54,536.78,1256.45,1049.18,7.05,9.02,175.3,1915.07,8005.4,0.94
96,462.54,537.08,1271.61,1055.24,7.05,9.03,176.3,1915.05,7998.61,0.94
97,491.19,607.7,1486.08,1264.52,9.35,13.66,333.57,2323.93,8708.02,1.07
98,462.54,537.14,1270.76,1063.37,7.05,9.03,175.89,1915.01,8003.14,0.94
99,491.19,607.69,1488.57,1261.75,9.35,13.66,334.18,2324,8704.52,1.08
100,445,549.72,1360.27,1130.74,3.91,5.71,138.73,2211.48,8299.32,1.02
101,449.44,556.05,1367.18,1133.68,5.48,8,194.46,2222.63,8327.66,1.02
102,445,550.36,1356.27,1128.9,3.91,5.72,138.24,2211.49,8309.08,1.02
103,462.54,537.16,1262.9,1066.85,7.05,9.03,174.64,1915.07,7995.06,0.94
104,489.05,605.64,1501.65,1318.18,10.52,15.5,393.74,2319.1,8763.62,1.26
105,462.54,536.99,1265.82,1051.82,7.05,9.03,175.25,1915.08,7998.02,0.94
106,449.44,556.2,1369.76,1137.83,5.48,8,193.58,2222.64,8335.76,1.02
107,445,549.66,1353.37,1132.08,3.91,5.72,138.85,2211.42,8306.98,1.02
108,489.05,605.65,1507.46,1322.6,10.52,15.5,394.1,2319.04,8760.33,1.26
109,489.05,605.93,1504.8,1316.54,10.52,15.5,393.76,2319.05,8761.25,1.26
110,491.19,607.92,1488.26,1260.17,9.35,13.66,333.46,2323.99,8707.25,1.08
111,491.19,608.34,1489.15,1255.9,9.35,13.66,333.76,2324.01,8713.31,1.07
112,445,550.31,1356.77,1131.85,3.91,5.72,138.43,2211.5,8305.77,1.02
113,445,550.23,1356.77,1134.58,3.91,5.72,138.47,2211.46,8296.86,1.02
114,445,549.73,1353.63,1133.15,3.91,5.72,137.88,2211.43,8303.22,1.02
115,445,549.08,1355.19,1129.41,3.91,5.71,139.08,2211.5,8303.54,1.02
116,445,549.83,1358.91,1132.14,3.91,5.71,137.72,2211.47,8301.79,1.02
117,449.44,557.04,1369.32,1139.16,5.48,8,193.81,2222.62,8337.91,1.02
118,449.44,556.04,1372.07,1139.15,5.48,8,194.37,2222.61,8331.59,1.02
119,449.44,555.89,1372.71,1142.13,5.48,8,193.65,2222.59,8335.06,1.02
120,445,549.88,1355.26,1137.81,3.91,5.71,138.52,2211.45,8297.59,1.02
121,462.54,536.93,1263.15,1060.32,7.05,9.03,175.03,1914.99,8000.38,0.94
122,445,549.91,1358,1136.75,3.91,5.72,138.42,2211.44,8305.23,1.02
123,491.19,608.28,1495.07,1257.33,9.35,13.66,333.95,2323.97,8709.05,1.07
124,518.67,642.76,1595.49,1419.77,14.62,21.61,552.07,2388.29,9037.26,1.3
125,445,550.26,1362.57,1136.87,3.91,5.71,137.47,2211.37,8300.96,1.02
126,449.44,555.9,1380.93,1138.05,5.48,8,193.49,2222.57,8338.86,1.02
127,518.67,643.66,1597.7,1422.65,14.62,21.61,552.19,2388.25,9029.76,1.3
128,462.54,537.27,1268.06,1055.28,7.05,9.03,174.92,1915.04,7995.87,0.94
129,445,550.04,1361.72,1138.31,3.91,5.72,138.13,2211.37,8301.81,1.02
130,491.19,608.2,1486.89,1272.12,9.35,13.66,332.98,2324.02,8708.26,1.07
131,445,550.76,1362.13,1133.44,3.91,5.72,138.4,2211.34,8298.22,1.02
132,445,549.85,1353.31,1134.48,3.91,5.71,137.7,2211.41,8306.97,1.02
133,462.54,537.06,1261.93,1055.39,7.05,9.03,174.5,1915.01,7995.22,0.94
134,462.54,536.93,1271.48,1056.49,7.05,9.03,174.81,1915.01,7996.8,0.94
135,491.19,608.57,1486.48,1268.13,9.35,13.66,333.8,2323.97,8703.11,1.07
136,445,550.33,1355.09,1133.58,3.91,5.72,138.09,2211.44,8309.12,1.02
137,518.67,643.46,1592.67,1426.66,14.62,21.61,551.71,2388.29,9032.21,1.3
138,518.67,643.35,1595.79,1432.82,14.62,21.61,552.1,2388.27,9037.27,1.3
139,449.44,556.3,1364.88,1142.24,5.48,8,193.84,2222.55,8335.77,1.02
140,491.19,608.13,1501.91,1267.76,9.35,13.66,333.44,2324.06,8697.7,1.07
141,489.05,606.06,1507.94,1329.26,10.52,15.5,392.99,2319.19,8754.68,1.26
142,518.67,643.87,1591.1,1431.86,14.62,21.61,552.25,2388.27,9031.3,1.3
143,445,550.14,1367.76,1135.06,3.91,5.72,137.81,2211.26,8304.63,1.02
144,449.44,556.96,1373.98,1139.95,5.48,8,193.6,2222.55,8335.64,1.02
145,462.54,536.51,1266.28,1064.99,7.05,9.03,174.79,1914.9,7989.93,0.94
146,449.44,556.15,1371.87,1142.31,5.48,8,193.09,2222.51,8331.88,1.02
147,489.05,605.99,1519.22,1328.36,10.52,15.5,393.37,2319.18,8751.98,1.26
148,445,550.07,1360.86,1150.18,3.91,5.72,138.28,2211.28,8306.89,1.02
149,489.05,605.85,1514.51,1331.53,10.52,15.5,392.53,2319.16,8754.75,1.26
150,462.54,537.44,1273.77,1072.6,7.05,9.03,175.06,1914.89,7991.25,0.94
,,,,,,,,,,
