Time_cycle,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10
85,491.19,607.27,1481.39,1252.28,9.35,13.65,335.41,2323.93,8721.51,1.08
86,449.44,555.38,1363.35,1122.81,5.48,8,194.73,2222.88,8348.62,1.02
87,445,549.43,1353,1125.88,3.91,5.71,139.32,2211.88,8320.63,1.02
88,489.05,604.72,1496.47,1302.33,10.52,15.49,395.19,2318.86,8774.01,1.26
89,462.54,536.57,1257.14,1039.18,7.05,9.02,174.94,1915.28,8011.08,0.94
90,445,549.22,1351.12,1125.25,3.91,5.72,139.28,2211.92,8318.4,1.02
91,518.67,642.48,1587.45,1399.09,14.62,21.61,554.1,2388.05,9052.53,1.3
92,518.67,642.26,1581.7,1398.59,14.62,21.61,554.08,2388.03,9045.82,1.3
93,518.67,642.45,1583.47,1403.4,14.62,21.61,553.91,2388.06,9050.97,1.3
94,445,549.93,1351.01,1118.73,3.91,5.71,139.06,2211.88,8323.3,1.02
95,489.05,605.03,1496.01,1308.19,10.52,15.49,394.43,2318.94,8775.12,1.26
96,489.05,604.03,1499.57,1298.64,10.52,15.49,395.07,2318.92,8780.14,1.26
97,462.54,536.35,1266.65,1049.76,7.05,9.03,175.48,1915.36,8008.76,0.94
98,462.54,536.84,1263.81,1046.93,7.05,9.03,175.62,1915.33,8006.57,0.94
99,518.67,642.17,1592.58,1399.93,14.62,21.61,553.42,2388.09,9050.52,1.3
100,445,549.58,1354.29,1124.09,3.91,5.71,139.02,2211.85,8323.37,1.02
101,518.67,642.75,1583.22,1400.48,14.62,21.61,554.34,2388.06,9055.81,1.3
102,445,549.22,1353.23,1121.96,3.91,5.71,138.78,2211.86,8319.77,1.02
103,449.44,556.11,1362.85,1128.19,5.48,8,193.92,2222.89,8347.16,1.02
104,489.05,604.23,1500.27,1310.01,10.52,15.49,394.09,2318.91,8773.84,1.26
105,518.67,642.46,1590.79,1405.87,14.62,21.61,554.15,2388.04,9055.6,1.3
106,489.05,604.12,1503.81,1300.24,10.52,15.49,394.61,2318.92,8782.5,1.26
107,445,549.76,1354.24,1118.53,3.91,5.72,138.59,2211.89,8315.32,1.02
108,491.19,607.66,1480.13,1246.13,9.35,13.66,334.63,2323.93,8724,1.08
109,518.67,642.51,1589.31,1409.54,14.62,21.61,553.41,2388.04,9047.86,1.3
110,445,549.41,1350.55,1122.65,3.91,5.71,139.09,2211.87,8323.2,1.02
111,491.19,608.06,1483.52,1250.84,9.35,13.66,334.44,2323.89,8710.8,1.07
112,449.44,555.87,1366.35,1127.34,5.48,8,194.35,2222.86,8344.42,1.02
113,449.44,556.02,1366.38,1129.99,5.48,8,195.06,2222.98,8346.14,1.02
114,491.19,607.38,1487.21,1252.05,9.35,13.66,334.26,2323.93,8708.9,1.08
115,489.05,605.12,1497.89,1304.85,10.52,15.49,394.34,2318.94,8778.86,1.26
116,445,549.59,1350.33,1123.9,3.91,5.72,138.79,2211.79,8328.05,1.02
117,491.19,607.53,1494.91,1259.91,9.35,13.65,334.41,2323.98,8720.97,1.08
118,491.19,607.61,1484.73,1250.92,9.35,13.66,334.79,2323.95,8724.47,1.08
119,491.19,607.3,1487.17,1253.15,9.35,13.66,334.6,2323.97,8713.91,1.08
120,445,549.13,1361.94,1126.49,3.91,5.71,138.79,2211.78,8312.94,1.02
121,491.19,607.67,1487.76,1248.9,9.35,13.65,334.19,2323.96,8716.85,1.08
122,491.19,606.97,1489.52,1248.12,9.35,13.66,334.28,2323.92,8713.93,1.08
123,445,549.97,1354.32,1128.99,3.91,5.71,138.41,2211.72,8315.24,1.02
124,491.19,607.9,1481.96,1255.4,9.35,13.66,334.48,2323.99,8715.01,1.08
125,491.19,606.77,1486.69,1246.4,9.35,13.66,334.45,2323.96,8721.93,1.08
126,462.54,537.03,1257.74,1044.7,7.05,9.03,175.44,1915.24,8013.44,0.94
127,449.44,555.83,1368.78,1133.67,5.48,8,194.21,2222.83,8343.63,1.02
128,518.67,642.83,1597.86,1404.88,14.62,21.61,552.83,2388.1,9054.11,1.3
129,489.05,604.53,1502.85,1311.65,10.52,15.49,394.76,2318.96,8769.12,1.26
130,449.44,555.59,1365.29,1138.66,5.48,8,194.03,2222.77,8343.71,1.02
131,462.54,537.02,1272.69,1050.09,7.05,9.02,174.93,1915.23,8004.13,0.94
132,489.05,605.12,1505,1314.49,10.52,15.49,393.51,2319.01,8771.26,1.26
133,445,550.13,1355.43,1123.9,3.91,5.72,138.07,2211.68,8315.48,1.02
134,518.67,643.23,1592.94,1421.1,14.62,21.61,552.81,2388.18,9049.61,1.3
135,491.19,608.05,1482.3,1256.34,9.35,13.66,333.67,2324,8712.79,1.07
136,491.19,607.63,1483.97,1255.29,9.35,13.66,334.31,2323.98,8713.24,1.07
137,491.19,607.61,1482.52,1265.27,9.35,13.66,333.44,2324,8717.61,1.08
138,489.05,604.76,1494.81,1317.69,10.52,15.5,393.73,2319.03,8760.75,1.26
139,462.54,536.66,1263.15,1051.23,7.05,9.03,174.86,1915.28,8012.48,0.94
140,491.19,608.29,1496.41,1253.31,9.35,13.66,333.89,2324.02,8721.16,1.08
141,491.19,607.81,1489.6,1261.22,9.35,13.66,334.09,2323.99,8719.22,1.08
142,518.67,643.34,1597.55,1413.74,14.62,21.61,552.56,2388.18,9044.11,1.3
143,449.44,555.97,1370.36,1136.31,5.48,8,194.72,2222.72,8342.28,1.02
144,445,549.77,1350.43,1132.94,3.91,5.71,138.35,2211.59,8306.76,1.02
145,445,549.9,1365.08,1136.73,3.91,5.72,139.17,2211.71,8317.89,1.02
146,445,550.86,1359.47,1132.83,3.91,5.71,138.69,2211.6,8310.36,1.02
147,445,549.85,1359.06,1130.41,3.91,5.71,137.73,2211.61,8311.91,1.02
148,445,550.11,1356.35,1131.67,3.91,5.72,138.15,2211.64,8301.18,1.02
149,518.67,642.83,1595.24,1416.11,14.62,21.61,551.93,2388.23,9043.06,1.3
150,491.19,608.54,1491.37,1261.63,9.35,13.66,333.93,2324.02,8717.63,1.07
,,,,,,,,,,
